customer_id,name,email,country
1,Valerie Kramer,hughescorey@yahoo.com,Malaysia
2,David Martinez,johnobrien@gmail.com,Sierra Leone
3,Tyrone Wallace,bautistajames@hotmail.com,Christmas Island
4,Joy Jensen,lisaedwards@mckay.info,United Kingdom
5,Lauren Gonzales,nedwards@hotmail.com,Tokelau
6,Omar Parker,myersgeorge@gmail.com,Uzbekistan
7,Kimberly Mitchell,wusteve@adams.com,France
8,Rodney Neal,ocarlson@meyer.com,Hungary
9,Gregory Turner,kimdavid@yahoo.com,Macedonia
10,Kara Calderon,moodylaura@hotmail.com,Gabon
11,Tammy Cruz,allisonanderson@hotmail.com,United States Minor Outlying Islands
12,Traci Lopez,steven02@mccall.com,Haiti
13,Meagan Christensen,davidjefferson@hotmail.com,Namibia
14,Roger Beasley,perkinsrobert@jones-tucker.com,South Georgia and the South Sandwich Islands
15,Amy Castaneda,danielleclark@gmail.com,Denmark
16,Ryan Mckinney,sjensen@simmons.com,Botswana
17,Gina Cantrell,fullerkristi@yahoo.com,Svalbard & Jan Mayen Islands
18,Crystal Nolan,summerstyler@stevens.org,Estonia
19,Kenneth Ho,rodgerskelly@yahoo.com,Finland
20,David Adkins,stephaniewood@griffith.com,Solomon Islands
21,Kyle Edwards,huntkatherine@yahoo.com,Western Sahara
22,Shawn Weber,christophersummers@hotmail.com,Guam
23,Susan Wong,millerdouglas@page-li.com,Suriname
24,Robert Wallace,alyssa50@yahoo.com,Mauritius
25,William Stuart,debra89@martin.com,Switzerland
26,Andre Ramirez,johnbailey@shepherd-barber.com,Brazil
27,Brandon Walsh,lewischristine@yahoo.com,Bolivia
28,Suzanne Ortiz,gbaker@barrett.biz,Martinique
29,Reginald Espinoza,dmartin@wiggins.com,American Samoa
30,Stephanie Dillon,asmith@gmail.com,Thailand
31,Tina Jimenez,padillalori@stephens.net,Czech Republic
32,Rebecca Jackson,jnash@massey.org,Tunisia
33,Trevor Williams,brandimckinney@yahoo.com,Faroe Islands
34,Gerald Pace,rogerssherri@gmail.com,Equatorial Guinea
35,Ashley Washington,efarley@yahoo.com,Guernsey
36,Angela Thomas,bobbysmith@jefferson-lewis.org,Sweden
37,Kelly Willis,heidi67@hotmail.com,Uruguay
38,Sarah Jones,beckylopez@horton-gill.info,Guatemala
39,Crystal Torres,patrick99@yahoo.com,Kazakhstan
40,Michelle Estes,robert22@hines.net,New Caledonia
41,Jessica Cooper,emiller@hoffman.com,Belize
42,Pamela Holmes,richard99@hotmail.com,Namibia
43,John Gonzalez,richard35@cook-newman.com,Bermuda
44,Melissa Le,tammy92@pope-clark.com,Nicaragua
45,Tara Berry,lhamilton@butler-callahan.com,Bolivia
46,William Mccarthy,icook@hotmail.com,Chile
47,Tyler Myers,gfoster@long.biz,Norfolk Island
48,William Benjamin,gregorywarren@yahoo.com,Panama
49,David Gutierrez,ashley68@bruce-watkins.org,Kenya
50,Richard Ayala,pmiles@phillips-carey.com,Cocos (Keeling) Islands
51,Breanna Roth,williamslaura@hotmail.com,Papua New Guinea
52,Daniel Sweeney,jasonwalker@thomas-castaneda.com,Vietnam
53,Leah Bell,reginagreene@davis-jones.com,Sierra Leone
54,James Collins,daniel87@yahoo.com,Chad
55,William Herrera,gary21@jacobs.com,France
56,Scott Munoz,paul59@leon.com,United States Virgin Islands
57,Eric Lindsey,cameron06@hotmail.com,Rwanda
58,Randy Smith,jill69@yahoo.com,Madagascar
59,Ryan Williams,oatkinson@frazier-evans.com,Mexico
60,Jason Rodriguez,kellycaroline@simmons.com,Guatemala
61,Barbara Hunter,robertcarroll@burton-donaldson.com,Uruguay
62,Stephen Ochoa,andreswatson@gmail.com,Tonga
63,Anthony Pacheco,kathleenharmon@gmail.com,Central African Republic
64,Martha Richardson,michael05@hotmail.com,Cameroon
65,Marvin Daniels,uphillips@yahoo.com,Reunion
66,Martin Berry,reidjudith@hotmail.com,Bosnia and Herzegovina
67,Jonathan King,weavercrystal@kennedy.biz,Niue
68,Kelly Ward,starksusan@mason.biz,Israel
69,Michelle Taylor,collinsarthur@robinson-hart.com,Namibia
70,Jacob Jackson,matajeffrey@skinner.com,Antarctica (the territory South of 60 deg S)
71,Paul Nguyen,joneszachary@lee.com,Finland
72,Samuel Maxwell,alex59@lewis.org,Mexico
73,Scott Moore,rebeccakirk@yahoo.com,Botswana
74,John Silva,erikajohnson@hotmail.com,Indonesia
75,Karen Davila,adamsvalerie@gmail.com,Burkina Faso
76,Kevin Roberson,lgarcia@hotmail.com,Bouvet Island (Bouvetoya)
77,Amber Martin,pobrien@monroe-mcgee.com,Equatorial Guinea
78,Susan Peterson,stephanie59@fuentes.biz,Swaziland
79,Michael Hill,stephen74@hotmail.com,Nepal
80,Ronald Murphy,tracy52@yahoo.com,Saint Lucia
81,Russell Richmond,kyleblair@gmail.com,Korea
82,Christopher Reyes,debbie01@hotmail.com,Saint Kitts and Nevis
83,Michael Patton,qsmith@yahoo.com,Ecuador
84,Jeffrey Davis,johnbutler@hotmail.com,Comoros
85,Desiree Harris,kerry04@webster.com,Portugal
86,Amanda Brock,katherine45@yahoo.com,Australia
87,Brenda Jackson,pcannon@graham-lewis.biz,Botswana
88,Colleen Dunlap,nataliewilliams@newton.org,Russian Federation
